source_code,source_record_id,gid,ward_name,county_name,subcounty_name,dhis2_uid,dhis2_cuid,dhis2_scuid,population_2009,vintage,modified_at,source_status
HDX_ARC_WARDS_1450,rIdiIpv9fBt,241,WABERA,ISIOLO,Isiolo Sub County,rIdiIpv9fBt,bzOfj0iwfDH,I2LYLqKU6AW,17431.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,QC41mItjIzF,1455,North Kamagambo Ward,Migori,Rongo Sub County,QC41mItjIzF,fVra3Pwta0Q,fT37q3rXQ35,18755.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,M8rGveWTIMm,1456,Central Kamagambo Ward,Migori,Rongo Sub County,M8rGveWTIMm,fVra3Pwta0Q,fT37q3rXQ35,27756.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,DABObbHgPMX,1457,South Kamagambo Ward,Migori,Rongo Sub County,DABObbHgPMX,fVra3Pwta0Q,fT37q3rXQ35,27179.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,EmSsP2C6A3h,1458,North Sakwa Ward,Migori,Awendo Sub County,EmSsP2C6A3h,fVra3Pwta0Q,ka9Uv3Ckcbd,22874.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,OpbsijPbYuv,1459,South Sakwa Ward,Migori,Awendo Sub County,OpbsijPbYuv,fVra3Pwta0Q,ka9Uv3Ckcbd,36200.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,nLwQA56EFmD,1460,West Sakwa Ward,Migori,Awendo Sub County,nLwQA56EFmD,fVra3Pwta0Q,ka9Uv3Ckcbd,22278.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,jmeydKjWYw7,1461,Central Sakwa Ward,Migori,Awendo Sub County,jmeydKjWYw7,fVra3Pwta0Q,ka9Uv3Ckcbd,27561.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,Fp2Wuqu3GAI,1462,God Jope  Ward,Migori,Suna East Sub County,Fp2Wuqu3GAI,fVra3Pwta0Q,nHEr5EciFh0,18567.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,QAxizS8H0d7,1463,Suna Central Ward,Migori,Suna East Sub County,QAxizS8H0d7,fVra3Pwta0Q,nHEr5EciFh0,27645.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,SUvzbKCIzyN,1464,Kakrao Ward,Migori,Suna East Sub County,SUvzbKCIzyN,fVra3Pwta0Q,nHEr5EciFh0,33642.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,YKABD0bh2a7,1465,Kwa Ward,Migori,Suna East Sub County,YKABD0bh2a7,fVra3Pwta0Q,nHEr5EciFh0,17267.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,kxIw7ZzqXPq,1466,Wiga Ward,Migori,Suna West Sub County,kxIw7ZzqXPq,fVra3Pwta0Q,VtuwXD7O1O9,24096.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,KwrilS23iAS,1467,Waseweta Ii Ward,Migori,Suna West Sub County,KwrilS23iAS,fVra3Pwta0Q,VtuwXD7O1O9,17952.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,PPEvdyHP6uZ,1468,Ragana-oruba Ward,Migori,Suna West Sub County,PPEvdyHP6uZ,fVra3Pwta0Q,VtuwXD7O1O9,32847.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,c2OOtR8JNjy,1469,Wasimbete Ward,Migori,Suna West Sub County,c2OOtR8JNjy,fVra3Pwta0Q,VtuwXD7O1O9,19232.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,ziaLqezx6rb,1470,West Kanyamkago Ward,Migori,Uriri Sub County,ziaLqezx6rb,fVra3Pwta0Q,fCInDXluNhx,26786.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,LXYI6dwqHoR,1471,North  Kanyamkago Ward,Migori,Uriri Sub County,LXYI6dwqHoR,fVra3Pwta0Q,fCInDXluNhx,30396.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,P9SReXKzjbO,1472,Central Kanyamkago Ward,Migori,Uriri Sub County,P9SReXKzjbO,fVra3Pwta0Q,fCInDXluNhx,17814.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,FdBel1HNlGu,1473,South Kanyamkago Ward,Migori,Uriri Sub County,FdBel1HNlGu,fVra3Pwta0Q,fCInDXluNhx,27719.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,IgyJtGgB69M,1474,East Kanyamkago Ward,Migori,Uriri Sub County,IgyJtGgB69M,fVra3Pwta0Q,fCInDXluNhx,13036.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,yowhezRzMGg,1475,Kachieng' Ward,Migori,Nyatike Sub County,yowhezRzMGg,fVra3Pwta0Q,D2lsuEzZAJP,21775.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,zTD1Z6ldaEx,1486,Masaba Ward,Migori,Kuria West Sub County,zTD1Z6ldaEx,fVra3Pwta0Q,jtBjNpL9FXS,22683.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,dkHXkFhXXxJ,1490,Ntimaru West Ward,Migori,Kuria East Sub County,dkHXkFhXXxJ,fVra3Pwta0Q,THm2tCJa2ZQ,20439.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,ZlcAxf7QN8c,1520,Mathatani Ward,Machakos,Athi River Sub County,ZlcAxf7QN8c,yhCUgGcCcOo,BxfsSc6Svrc,28517.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,TcWlRA6LpLB,1521,Syokimau-mulolongo Ward,Machakos,Athi River Sub County,TcWlRA6LpLB,yhCUgGcCcOo,BxfsSc6Svrc,42154.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,X0dFLUEZDlw,1522,Kalama Ward,Machakos,Machakos Sub County,X0dFLUEZDlw,yhCUgGcCcOo,KXc4ez8OAFz,32055.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,aQ530J1wOWr,1523,Mua Ward,Machakos,Machakos Sub County,aQ530J1wOWr,yhCUgGcCcOo,KXc4ez8OAFz,25573.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,m6H14WsORB0,1524,Mutituni Ward,Machakos,Machakos Sub County,m6H14WsORB0,yhCUgGcCcOo,KXc4ez8OAFz,23736.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,bSXsHJ4bnCw,1525,Township Ward,Machakos,Machakos Sub County,bSXsHJ4bnCw,yhCUgGcCcOo,KXc4ez8OAFz,32530.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,W5KRNT7qwnJ,1526,Mumbuni North Ward,Machakos,Machakos Sub County,W5KRNT7qwnJ,yhCUgGcCcOo,KXc4ez8OAFz,28319.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,CJ0xDJy3ZZI,1527,Muvuti-kiima-kimwe Ward,Machakos,Machakos Sub County,CJ0xDJy3ZZI,yhCUgGcCcOo,KXc4ez8OAFz,32413.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,RWCExNJBqjw,1528,Kola Ward,Machakos,Machakos Sub County,RWCExNJBqjw,yhCUgGcCcOo,KXc4ez8OAFz,24585.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,mTYNhOlvCK8,1529,Mbiuni Ward,Machakos,Mwala Sub County,mTYNhOlvCK8,yhCUgGcCcOo,fYYivceocJ2,32142.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,LFDB6rHVYOg,1530,Makutano-mwala Ward,Machakos,Mwala Sub County,LFDB6rHVYOg,yhCUgGcCcOo,fYYivceocJ2,32127.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,aN66G7fGx3m,1531,Masii Ward,Machakos,Mwala Sub County,aN66G7fGx3m,yhCUgGcCcOo,fYYivceocJ2,32367.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,p3N8fKKiVHr,1532,Muthetheni Ward,Machakos,Mwala Sub County,p3N8fKKiVHr,yhCUgGcCcOo,fYYivceocJ2,22805.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,TlP41wTPt6a,1533,Wamunyu Ward,Machakos,Mwala Sub County,TlP41wTPt6a,yhCUgGcCcOo,fYYivceocJ2,25664.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,vzUXLmjcQsv,1534,Kibauni Ward,Machakos,Mwala Sub County,vzUXLmjcQsv,yhCUgGcCcOo,fYYivceocJ2,17927.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,tn1vEO9VD83,1535,West Kasipul Ward,Homa Bay,Kasipul Sub County,tn1vEO9VD83,nK0A12Q7MvS,NhsAMiaS0TD,25807.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,xiP5RKdvPTn,1536,South Kasipul Ward,Homa Bay,Kasipul Sub County,xiP5RKdvPTn,nK0A12Q7MvS,NhsAMiaS0TD,25691.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,UQYZGlkULva,1537,Central Kasipul Ward,Homa Bay,Kasipul Sub County,UQYZGlkULva,nK0A12Q7MvS,NhsAMiaS0TD,26016.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,RvsMMMCame7,1538,East Kamagak Ward,Homa Bay,Kasipul Sub County,RvsMMMCame7,nK0A12Q7MvS,NhsAMiaS0TD,14588.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,pPN9DI12g5m,1539,West Kamagak Ward,Homa Bay,Kasipul Sub County,pPN9DI12g5m,nK0A12Q7MvS,NhsAMiaS0TD,21015.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,nYfCFgklbTM,1540,Kabondo East Ward,Homa Bay,Kabondo Kasipul Sub County,nYfCFgklbTM,nK0A12Q7MvS,BzFBYZhF5fx,31962.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,zkOTNmaTloy,1541,Kabondo West Ward,Homa Bay,Kabondo Kasipul Sub County,zkOTNmaTloy,nK0A12Q7MvS,BzFBYZhF5fx,31131.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,dPxooReTfTv,1542,Kokwanyo/kakelo Ward,Homa Bay,Kabondo Kasipul Sub County,dPxooReTfTv,nK0A12Q7MvS,BzFBYZhF5fx,26532.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,FdJzxSJbjk3,1543,Kojwach Ward,Homa Bay,Kabondo Kasipul Sub County,FdJzxSJbjk3,nK0A12Q7MvS,BzFBYZhF5fx,17924.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,DbwgMpyBfwd,1544,West Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,DbwgMpyBfwd,nK0A12Q7MvS,fmsyW02tPng,26069.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
