gb_boundary_id,gb_boundary_name,gb_boundary_type,gb_release,gb_boundary_year,hdx_uid,hdx_cuid,hdx_scuid,hdx_gid,hdx_county,hdx_subcounty,hdx_ward,match_method,match_confidence,source_gb,source_hdx
90231094B20432175736632,Sinoko,ADM3,gbOpen,2020,clRPOipiZXp,BjC1xL40gHo,wMv0s3U2nnG,1655,Kakamega,Likuyani Sub County,Sinoko Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B85146980423829,Kiomo/Kyethani,ADM3,gbOpen,2020,vpiZlB5cdK7,j8o6iO4Njsi,svwbDnzhgik,339,KITUI,Mwingi West Sub County,Kiomo/kyethani Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B52004705419934,Nyalenda 'A',ADM3,gbOpen,2020,roJc7UkCD2l,tAbBVBbueqD,PRpKwAloU5b,1913,Kisumu,Kisumu East Sub County,Nyalenda A Ward,unique_normalized_name,medium,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B90563434903456,Saboti,ADM3,gbOpen,2020,OBSb0eIl4tb,mThvosEflAU,y2M16lesMsF,686,TRANS NZOIA,Saboti  Sub County,Saboti Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B91979562778969,South Maragoli,ADM3,gbOpen,2020,hTylTMl1aid,sANMZ3lpqGs,OOF3UX4yOt7,1597,Vihiga,Vihiga Sub County,South Maragoli Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B24725825323693,Ithiru,ADM3,gbOpen,2020,Wdh5QDM2Ov1,ahwTMNAJvrL,gwYTo0wITYX,2120,Muranga,Kandara Sub County,Ithiru Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B35912937440658,Mahoo,ADM3,gbOpen,2020,AUs81wSmXra,QyGNX2DpR4h,jNzRdAwjaQ1,112,TAITA TAVETA,Taveta Sub County,Mahoo Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B49337120320895,Kokwanyo/Kakelo,ADM3,gbOpen,2020,dPxooReTfTv,nK0A12Q7MvS,BzFBYZhF5fx,1542,Homa Bay,Kabondo Kasipul Sub County,Kokwanyo/kakelo Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B66403689767778,Kapckok,ADM3,gbOpen,2020,AXu2vRnnxOt,XWALbfAPa6n,YXpHG1Ez8V2,654,WEST POKOT,Pokot North Sub County,Kapchok Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B29596600427469,Visoi,ADM3,gbOpen,2020,bKCcKfnNznJ,ob6SxuRcqU4,OK0hW8DFHq3,1776,Nakuru,Rongai  Sub County,Visoi Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B80171653734887,Chemagel,ADM3,gbOpen,2020,LK2nY0OUCDG,HMNARUV2CW4,KyuSYunELJI,2249,Bomet,Sotik Sub County,Chemagel Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B49138610268239,Kaloleni,ADM3,gbOpen,2020,KOJIrVBHq0c,nrI2khZx3d0,tSKDWoVKiPo,1839,Kilifi,Kaloleni Sub County,Kaloleni Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B38717407291444,Kapsuser,ADM3,gbOpen,2020,,,,961,KERICHO,AINAMOI,BELGUT,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B19194152773087,Rabai/Kisurutini,ADM3,gbOpen,2020,mi5ayQN77v7,nrI2khZx3d0,hJf4rt7cvI6,1844,Kilifi,Rabai Sub County,Rabai/kisurutini Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B90425830459462,Sigor,ADM3,gbOpen,2020,KFjbUWezAnU,HMNARUV2CW4,PUhMyfDD2xp,2255,Bomet,Chepalungu Sub County,Sigor Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B45152840693854,Ngenda,ADM3,gbOpen,2020,l4MV7dNKjrG,qKzosKQPl6G,EcRytSSIkUq,2224,Kiambu,Gatundu South Sub County,Ngenda Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B8989360267118,Umoja II,ADM3,gbOpen,2020,ivNrlSMRNra,jkG3zaihdSs,aCwUX5V42Zz,2068,Nairobi,Embakasi West Sub County,Umoja Ii Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
90231094B40369376812083,Karuri,ADM3,gbOpen,2020,eCWu3IedbJm,qKzosKQPl6G,oMaQgNIs85x,2197,Kiambu,Kiambaa Sub County,Karuri Ward,representative_point_in_hdx_polygon,high,geoBoundaries current gbOpen KEN ADM3 API release,HDX Administrative Wards in Kenya 1450
