source_document,source_url,publication_date,period,base_period,series_code,series_name,item_name,construction_domain,weight,index_value,currency_code,source_status
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,CIPI,Construction Input Price Index,Overall,overall,100.00,126.36,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,BCI,Building Cost Index,Overall,building,100.00,126.06,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,CECI,Civil Engineering Cost Index,Overall,civil_engineering,100.00,127.30,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,BCI_MAT,Building Materials,Materials,materials,55.36,127.79,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,BCI_EQUIP,Building Equipment,Equipment,equipment,13.21,103.55,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,BCI_TF,Building Transport and Fuel,Transport and Fuel,transport_fuel,9.98,161.16,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,BCI_LAB,Building Labour,Labour,labour,21.45,119.31,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,CECI_MAT,Civil Engineering Materials,Materials,materials,47.08,134.70,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,CECI_EQUIP,Civil Engineering Equipment,Equipment,equipment,26.89,115.68,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,CECI_TF,Civil Engineering Transport Fuel,Transport and Fuel,transport_fuel,9.32,144.15,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,CECI_LAB,Civil Engineering Labour,Labour,labour,16.71,115.77,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,MAT_CEMENT,Cement,Cement,materials,7.41,125.84,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,MAT_SAND,Sand,Sand,materials,1.52,114.03,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,MAT_STEEL,Steel and reinforced bars,Steel and reinforced bars,materials,6.16,168.46,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,MAT_PAINTS,Paints,Paints,materials,0.89,125.21,,official_macro_reference
KNBS Construction Input Price Indices Q2 2026,https://www.knbs.or.ke/reports/construction-input-price-indices-for-second-quarter-2026/,2026-06-30,2026-Q2,2019-Q4=100,MAT_ELECTRICAL,Electrical fittings,Electrical fittings,materials,0.25,129.29,,official_macro_reference
