source_document,source_url,survey_start,survey_end,publication_period,currency_code,category,item_code,item_name,specification,unit_of_measure,quantity,price_embu,price_kisumu,price_nakuru,price_mombasa,price_nairobi,price_all,price_status,source_status
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10021,Lime-Hydrated,,Kg,25,766.31,875.10,797.14,704.16,799.10,786.42,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10031,Tile Grout,,Kg,0.5,135.97,138.74,106.39,122.47,104.82,120.84,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10052,Ladder,,Steps,8,16431.68,15303.77,12695.41,10569.11,8912.91,12463.41,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10053,Ladder,,Steps,14,,22819.10,15534.62,18923.52,18793.77,18843.16,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10111,Safety Gum Boots,,Pair,1,,2361.43,2615.27,2307.48,2499.00,2819.12,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10131,Safety Helmets,,Pieces,1,250.00,412.24,278.89,317.25,337.63,314.54,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10141,Safety Glass/Spectacles,,Pieces,1,306.39,486.20,424.10,337.90,348.07,375.15,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10151,Ordinary Safety Shoes,,Pair,1,3699.32,3066.41,2416.03,2639.54,2319.87,2785.92,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10211,Hand Gloves,,Pair,1,421.40,283.41,336.40,290.10,336.01,330.04,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10231,Chain-link 1200mm Wide x,,Pieces,1,2656.65,3484.93,3068.86,3271.00,3761.73,3226.37,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10242,Paint - Black bituminous,,Litre,4,2569.05,2677.03,2368.71,2497.30,2477.44,2515.83,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10281,Ceramic wall tiles,,Square-meter,1,1162.99,1112.53,1208.73,1376.00,1188.28,1206.57,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10331,Porcelain floor tiles,,Square-meter,1,1411.53,2020.49,2084.08,1767.24,1714.51,1782.78,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10361,Ceramic floor tiles,,Square-meter,1,1065.60,1563.08,1213.07,1476.22,1361.00,1323.41,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10441,Medium Density Fibre (MDF) board - 25mm thick long,,Pieces,1,2566.30,3752.73,3312.14,3435.74,3025.64,3192.42,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10451,Gypsum board - 12mm thick x 1200mm wide x,,Pieces,1,932.17,940.02,925.44,1279.93,1129.72,1032.35,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10461,Chip board- 12mm thick x long,,Pieces,1,800.00,1054.65,1079.98,,1538.11,1359.27,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10481,Wooden plywood- 12mm thick x 1200mm wide x,,Pieces,1,1000.00,660.18,2808.67,2213.27,1364.85,1411.42,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10491,"Cement- Ordinary Cement,",,Pieces,1,762.37,859.75,803.80,737.16,813.25,794.14,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10542,Reinforcement Steel Bar,,Pieces,1,9800.00,11000.00,,,,10382.68,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10551,Reinforcement-2.1m x48m,,Pieces,1,28982.75,24447.02,,14852.18,19145.36,15024.52,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10571,Hoop iron- 25 mm wide x 3 mm thick,,Pieces,1,1877.48,3085.83,2623.20,3125.57,2280.72,2552.44,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10581,Dump Proof Course (DPC) -,,Pieces,1,2000.00,2669.73,2460.83,2753.57,2256.43,2412.01,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10651,Anti termite treatment,,Litre,1,2500.00,2622.57,2448.64,2342.42,1739.06,2307.35,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10661,Binding wire- 25kg Roll,,Pieces,1,3054.93,3295.56,3434.90,3186.63,3333.50,3258.48,indicative_reference,official_public_reference
PPRA Market Reference Guide April 2026,https://ppra.go.ke/mrg-april-2026/,2026-02-16,2026-03-08,2026-04,KES,Building Materials,10881,Unpainted Roofing sheet- GCI Gauge 30,,Pieces,1,1350.00,1045.37,1179.56,1266.10,1274.32,1218.47,indicative_reference,official_public_reference
