canonical_entity_id,canonical_entity_type,canonical_status,source_system,source_row_id,source_sku,source_type,canonical_name,published,catalog_visibility,tax_status,source_in_stock,canonical_brand_external,product_family_external,categories,tags,unit_of_measure_external,pack_size_value_external,pack_size_unit_external,pack_size_text_external,weight_kg,length_cm,width_cm,height_cm,thickness_mm,diameter_value,diameter_unit,omniclass_code,masterformat_code,uniformat_code,etim_code,icms_code,source_content_hash
489be80c-361e-5e94-ae7e-bfb824487747,Product,master_canonical,wajenzi-master-catalogue-v1,10469,WP022,variable,Crown Vinyl Matt Emulsion Xtreme APS Shades,1,visible,taxable,1,Crown,paint,Paint,"crown paints, Paints, Steel Finishing and Coatings",L,20 | 4 | 1,L,20 L | 4 L | 1 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,6db72536f82a56095e6c56d94760605b4b762ece7d14cc6b0ab47e098ecc16e9
351d0254-efe9-5101-8b15-e446bdedaaa9,Product,master_canonical,wajenzi-master-catalogue-v1,10952,TA01,simple,11pcs Hole Saw Set,1,visible,taxable,1,,tools,Tool accessories,,piece,11,piece,11 piece,,,,,,,,,,,EC000415,,e615c3cfacc87aa600671c5704b722960ff64d11e2e1ff37f9d7acdd902facfa
a90441d3-b53f-5ca1-80cb-59e62afd8315,Product,master_canonical,wajenzi-master-catalogue-v1,10954,TA02,simple,"19 Piece High Speed Drill Bit Set 1, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10mm",1,visible,taxable,1,,tools,Tool accessories,,piece,19,piece,19 piece,,,,,,,,,,,EC000945,,3aa86f0e815e93d7bb0ee58098fe6189d9b1af2e3ab6f0039c4787be80aa9af6
d7c75bf4-b008-5c26-9203-e89a3f5ef586,Product,master_canonical,wajenzi-master-catalogue-v1,10956,TA03,simple,32-Pc Screwdriver Bit Set,1,visible,taxable,1,,tools,Tool accessories,,set,,set,set,,,,,,,,,,,,,c3d59cfbbc6bc2731b75ef873fd8e2ba807d3245dc5cf00326b84f9b354b722d
8ee099bc-20c2-53ae-ac41-40f742b3af15,Product,master_canonical,wajenzi-master-catalogue-v1,10958,TA04,simple,4 Piece Hole Saw Set,1,visible,taxable,1,,tools,Tool accessories,,piece,4,piece,4 piece,,,,,,,,,,,EC000415,,a90c3712f55d11cdf040287acea90135a2555fbda7aed744036b78039e1d0968
9d292edb-e31e-58cd-bc0e-cc925fce64a7,Product,master_canonical,wajenzi-master-catalogue-v1,10960,TA05,simple,43-Pc Bit & Nut Set,1,visible,taxable,1,,tools,Tool accessories,,set,,set,set,,,,,,,,,,,,,952ec8754fe923868a505ee108b1bce0fce64d916e138b03e3a0572207b94428
c0854001-e1fd-5826-be00-d0ec275462c0,Product,master_canonical,wajenzi-master-catalogue-v1,10962,TA06,simple,46-Pc Screwdriver Bit Set,1,visible,taxable,1,,tools,Tool accessories,,set,,set,set,,,,,,,,,,,,,94aa49c441634a89ea9da3ccdd4fa45c235574889e37239c6aef9b86cc7e15c5
19f455a3-885e-5c94-8b59-9645b93eef4b,Product,master_canonical,wajenzi-master-catalogue-v1,10964,TA07,simple,"5 Pc Sandind Discs Set 115mm 40,60,80,100,12 0",1,visible,taxable,1,,tools,Tool accessories,,piece,5,piece,5 piece,,,,,,,,,,,,,b557ac08c171f0b8c5168ffc78e439f5dd57323869bfb9e78baf870db17b1549
8fe67609-cfd7-56aa-8ec4-58b8a53bd996,Product,master_canonical,wajenzi-master-catalogue-v1,10966,TA08,simple,"5 Piece High Speed Drill Bit Set   4, 5, 6, 8, 10mm",1,visible,taxable,1,,tools,Tool accessories,,piece,5,piece,5 piece,,,,,,,,,,,EC000945,,4d6391f702a56fab748ac8b69ca5f0b917939dbee255a3a4066de1be5b883115
9ed86793-ac0f-5313-aad2-c068046d2938,Product,master_canonical,wajenzi-master-catalogue-v1,10968,TA09,simple,"5pcs Forstner Bit Set 15mm, 20mm, 25mm, 30mm, 35mm",1,visible,taxable,1,,tools,Tool accessories,,piece,5,piece,5 piece,,,,,,,,,,,EC003435,,efe3d30d3be5dd775ee3ae05b595f5b1ea018ae00b0c2eb2528e563b7bdc10ef
