canonical_variant_entity_id,canonical_entity_type,canonical_status,source_system,source_row_id,source_sku,source_parent_ref,parent_resolution_method,parent_product_entity_id,parent_product_source_row_id,canonical_name,attribute_1_name,attribute_1_value,attribute_2_name,attribute_2_value,unit_of_measure_external,pack_size_value_external,pack_size_unit_external,pack_size_text_external,weight_kg,length_cm,width_cm,height_cm,thickness_mm,diameter_value,diameter_unit,omniclass_code,masterformat_code,uniformat_code,etim_code,icms_code,source_content_hash
836b7a3c-1a43-518b-9fbd-f8091b08f35b,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,10489,WP023,WP022,unique_parent_sku,489be80c-361e-5e94-ae7e-bfb824487747,10469,Crown Vinyl Matt Emulsion Xtreme APS Shades,size in litres,20,Group,1,L,20,L,20 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,eb7405e0200a50a86824a8572151f8d14196a94c449e6bf39fce64238b9bc8c1
796cc1df-6121-5984-a577-e1125104c270,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,10490,WP024,WP022,unique_parent_sku,489be80c-361e-5e94-ae7e-bfb824487747,10469,Crown Vinyl Matt Emulsion Xtreme APS Shades,size in litres,4,Group,1,L,4,L,4 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,094c109c25b9b4bb3f59c602045c115eed3ef58c42fa7ed6d2118755acf0368b
f60c2941-2c19-5b7d-8a07-20a168d5bf6c,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,10491,WP025,WP022,unique_parent_sku,489be80c-361e-5e94-ae7e-bfb824487747,10469,Crown Vinyl Matt Emulsion Xtreme APS Shades,size in litres,1,Group,1,L,1,L,1 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,6b8ab1446ba55fbe2064f164e2b5a283b4c9d0856a2e285b5054b885246a415c
19be2376-f304-5ff9-8c2f-d5360edf13ec,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,10492,WP026,WP022,unique_parent_sku,489be80c-361e-5e94-ae7e-bfb824487747,10469,Crown Vinyl Matt Emulsion Xtreme APS Shades,size in litres,20,Group,2,L,20,L,20 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,a8abc009200a11fafdea4da2f9681ac9dcb44e2a421f0de1e68bce0e1f8e26a1
dc6f057b-4259-5cd4-8c0d-f3608a20dd9a,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,10493,WP027,WP022,unique_parent_sku,489be80c-361e-5e94-ae7e-bfb824487747,10469,Crown Vinyl Matt Emulsion Xtreme APS Shades,size in litres,4,Group,2,L,4,L,4 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,a8c1ef1d33554f144fe5908905ce130fc7c502646f8593595ec70107bbbc2e1e
64ebd343-68cb-5bf4-82df-af0f6ee0317b,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,10494,WP028,WP022,unique_parent_sku,489be80c-361e-5e94-ae7e-bfb824487747,10469,Crown Vinyl Matt Emulsion Xtreme APS Shades,size in litres,1,Group,2,L,1,L,1 L,,,,,,,,23-15 21 11,09 91 00,,,04.060,579c3ad166050d3dd01a0a190ebac094c09d6868f2ecd5a4e1012d9e2186d996
f4ecbfae-8abf-53e6-9d22-1f7db8acc74a,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,14991,SSTL002,SSTL001,unique_parent_sku,8443ac2a-7941-587d-91cc-1b9e20789d4a,14990,Black pipes -Class A - ½”,Diameter in Inches,½”,,,piece,1,piece,1 piece,5.77,,,,,,,23-31 35 00,22 10 00,,,05.050,e9acdb702d2658ca6a8bab9085698193fb87f1e38ab304a613fa1161936a02b0
e06abf23-10e1-5546-9359-060195a55858,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,14992,SSTL003,SSTL001,unique_parent_sku,8443ac2a-7941-587d-91cc-1b9e20789d4a,14990,Black pipes -Class A - ¾”,Diameter in Inches,¾”,,,piece,1,piece,1 piece,8.52,,,,,,,23-31 35 00,22 10 00,,,05.050,50d5e33cf166d4a2bc55c4cfad2fb69e0a4998b2a0de6f31e8745a515bb073d8
8aa24371-506a-5547-9a58-bc7cdb10518c,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,14993,SSTL004,SSTL001,unique_parent_sku,8443ac2a-7941-587d-91cc-1b9e20789d4a,14990,Black pipes -Class A - 1”,Diameter in Inches,1”,,,piece,1,piece,1 piece,12.18,,,,,,,23-31 35 00,22 10 00,,,05.050,a7df71673d22918182da8f2f31879db0079b267d035b4b3db75481b26d79aa10
4ae4d13b-0451-5e42-9ea1-c18b2f995d02,ProductVariant,master_canonical,wajenzi-master-catalogue-v1,14994,SSTL005,SSTL001,unique_parent_sku,8443ac2a-7941-587d-91cc-1b9e20789d4a,14990,Black pipes -Class A - 1¼”,Diameter in Inches,1¼”,,,piece,1,piece,1 piece,15.66,,,,,,,23-31 35 00,22 10 00,,,05.050,0ef4b3904a93dd015aa8c760f3d1ab2033da1f422d9dbe33b1ec435913c85588
