source_notice,notice_date,source_authority,parent_county,level,name,raw_name,headquarters_name,rename_note,parent_name,parent_level,publication_section,source_status,activation_status,effective_date,parent_match_status
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,Kilifi,service_delivery_subcounty,Magarini South,Magarini South (Magarini renamed),,Magarini renamed,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,matched_reference
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Magarini North,Magarini North,,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Kokane,Kokane: Headquarters - Assa,Assa,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Akachiu,Akachiu,,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,Meru,service_delivery_subcounty,Maua,Maua (Igembe South renamed),,Igembe South renamed,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,matched_reference
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Tharaka West,Tharaka West: Headquarters - Kibung’a,Kibung’a,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Mukothima,Mukothima,,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Ndithini,Ndithini: Headquarters - Kiatineni Market,Kiatineni Market,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Nuu,Nuu: Headquarters - Nuu Trading Centre,Nuu Trading Centre,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Zombe,Zombe (Mutitu Sub-county re-named),,Mutitu Sub-county re-named,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Illeret,Illeret,,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Engineer,Engineer,,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Soin,Soin: Headquarters-Kipsitet,Kipsitet,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,Kericho,service_delivery_subcounty,Sigowet,Sigowet (Soin Sigowet renamed): Headquarters- Chepkemel,Chepkemel,Soin Sigowet renamed,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,matched_reference
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Kolowa,Kolowa: Headquarters - Kolowa,Kolowa,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Baringo West,Baringo West: Headquarters- Barwesa,Barwesa,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Mukutani,Mukutani: Headquarters - Mukutani,Mukutani,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,Tiaty Central,Tiaty Central (Tiaty West renamed): Headquarters -,,Tiaty West renamed,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,Samburu,service_delivery_subcounty,Samburu West,Samburu West: Headquarters - Loosuk,Loosuk,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,matched_reference
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,Trans Nzoia,service_delivery_subcounty,Saboti,Saboti,,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,matched_reference
Gazette Notice No. 15341 of 2024,2024-11-22,Kenya Law / Government of Kenya,,service_delivery_subcounty,North East Kano,North East Kano: Headquarters - Masogo,Masogo,,,country_or_county_unresolved,top_subcounties,proposed_administrative_units,unconfirmed,2024-11-22,unresolved
