predicate,domain_class,range_class,notes
controls,Person,UserAccount,Union signature; validate the concrete class pair at ingestion time.
represents,UserAccount,Person,Explicit signature.
represents,Drawing,BuildingElement,Explicit signature.
represents,Drawing,BIMElementReference,Explicit signature.
represents,Evidence,BusinessEvent,Explicit signature.
member_of,Person,Organization,Union signature; validate the concrete class pair at ingestion time.
has_organization_role,Organization,OrganizationRole,Union signature; validate the concrete class pair at ingestion time.
has_persona,Person,Persona,Union signature; validate the concrete class pair at ingestion time.
has_persona,Organization,Persona,Union signature; validate the concrete class pair at ingestion time.
assigned_project_role,Person,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
assigned_project_role,Organization,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
on_project,ProjectRoleAssignment,Project,Union signature; validate the concrete class pair at ingestion time.
grants_access,Workspace,AccessGrant,Union signature; validate the concrete class pair at ingestion time.
grants_access,RoleDefinition,AccessGrant,Union signature; validate the concrete class pair at ingestion time.
operates,Organization,Facility,Union signature; validate the concrete class pair at ingestion time.
owns_or_controls,Person,Property,Union signature; validate the concrete class pair at ingestion time.
owns_or_controls,Person,Asset,Union signature; validate the concrete class pair at ingestion time.
owns_or_controls,Person,Vehicle,Union signature; validate the concrete class pair at ingestion time.
owns_or_controls,Organization,Property,Union signature; validate the concrete class pair at ingestion time.
owns_or_controls,Organization,Asset,Union signature; validate the concrete class pair at ingestion time.
owns_or_controls,Organization,Vehicle,Union signature; validate the concrete class pair at ingestion time.
employs_or_authorizes,Organization,Person,Union signature; validate the concrete class pair at ingestion time.
has_beneficial_owner,Organization,Person,Union signature; validate the concrete class pair at ingestion time.
has_beneficial_owner,Organization,Organization,Union signature; validate the concrete class pair at ingestion time.
authorized_by,Organization,Organization,Union signature; validate the concrete class pair at ingestion time.
has_site,Project,Site,Union signature; validate the concrete class pair at ingestion time.
has_geo_observation,Site,GeoObservation,Union signature; validate the concrete class pair at ingestion time.
has_geo_observation,Facility,GeoObservation,Union signature; validate the concrete class pair at ingestion time.
has_geo_observation,Vehicle,GeoObservation,Union signature; validate the concrete class pair at ingestion time.
has_geo_observation,Driver,GeoObservation,Union signature; validate the concrete class pair at ingestion time.
has_geo_observation,Address,GeoObservation,Union signature; validate the concrete class pair at ingestion time.
addressed_by,Site,Address,Union signature; validate the concrete class pair at ingestion time.
addressed_by,Facility,Address,Union signature; validate the concrete class pair at ingestion time.
addressed_by,Person,Address,Union signature; validate the concrete class pair at ingestion time.
addressed_by,Organization,Address,Union signature; validate the concrete class pair at ingestion time.
spatially_member_of,Site,GeographicUnit,Union signature; validate the concrete class pair at ingestion time.
spatially_member_of,Facility,GeographicUnit,Union signature; validate the concrete class pair at ingestion time.
spatially_member_of,Address,GeographicUnit,Union signature; validate the concrete class pair at ingestion time.
spatially_member_of,Property,GeographicUnit,Union signature; validate the concrete class pair at ingestion time.
